"All locales","All locales"
"All stores","All stores"
"Back to Tickets","Back to Tickets"
"Conversation","Conversation"
"List of Tickets","List of Tickets"
"Locale","Locale"
"Mark %status%","Mark %status%"
"Post Reply","Post Reply"
"Reply","Reply"
"Reply posted.","Reply posted."
"Search Feedback Tickets","Search Feedback Tickets"
"Store","Store"
"Ticket #%id%: %term%","Ticket #%id%: %term%"
"Ticket Context","Ticket Context"
"Ticket status updated.","Ticket status updated."
"Unknown ticket status.","Unknown ticket status."
"View SRP","View SRP"
