"All locales","Alle Sprachen"
"All stores","Alle Stores"
"Back to Tickets","Zurück zu den Tickets"
"Conversation","Unterhaltung"
"List of Tickets","Ticketliste"
"Locale","Sprache"
"Mark %status%","Als %status% markieren"
"Post Reply","Antwort senden"
"Reply","Antwort"
"Reply posted.","Antwort gesendet."
"Search Feedback Tickets","Suchfeedback-Tickets"
"Store","Store"
"Ticket #%id%: %term%","Ticket #%id%: %term%"
"Ticket Context","Ticket-Kontext"
"Ticket status updated.","Ticket-Status aktualisiert."
"Unknown ticket status.","Unbekannter Ticket-Status."
"View SRP","Suchergebnisseite ansehen"
